# format:
# tilesetName tilesetFile
menu-background menu-background.png
font atlas.png
font-black atlas-black.png
font-red atlas-red.png
font-green atlas-green.png
ui ui.png
ui-inventory ui-inventory.png
ui-equipment ui-equipment.png
ui-equipment-select ui-equipment-select.png
ui-player-creation ui-player-creation.png
ui-player-stats ui-player-stats.png
cursor cursor.png
cursor-tab cursor-tab.png
card card.png
action-attack action-attack.png
action-pick action-pick.png
action-loot action-loot.png
action-discard action-discard.png
action-runaway action-runaway.png
objects objects.png
door-down door-down.png
door-up door-up.png
monsters monsters.png
quick-action-bar quick-action-bar.png
progress-back progress-back.png
progress-red progress-red.png
final-goal final-goal.png
arrows arrows.png
